Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x3,1,220UF,
"C2, C3",CP_Elec_6.3x3,2,10UF,
"C4, C5",0805,2,100NF,
"C6, C7",0805,2,47NF,
F1,1210,1,Fuse,
J1,BarrelJack_Horizontal,1,Barrel_Jack,
J2,Conn_uSDcard,1,Micro_SD_Card,
J3,PJ-307,1,AudioJack2_Ground,
J4,PS-12E05,1,~,
J5,PS-22F05,1,~,
"J6, J7, J8",TE_6364372-2,3,USB_A,
J9,DSUB-15-HD_Socket_Horizontal_P2.29x1.90mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DA15_Pins,
"R1, R4, R7",0805,3,10K,
"R10, R12, R8",0805,3,1.2K,
"R11, R13, R9",0805,3,560,
"R2, R3, R5, R6",0805,4,330,
U1,ESP32-S3-WROOM-1,1,~,
