Designator,Mid X,Mid Y,Rotation,Layer
C1,115.75,-80.35,270.0,top
C2,133.2,-80.35,270.0,top
C3,124.475,-80.35,270.0,top
C4,184.7,-88.3375,90.0,top
C5,177.9,-88.3375,270.0,top
C6,188.05,-83.2375,90.0,top
C7,177.95,-83.2375,270.0,top
F1,100.35,-78.6,270.0,top
J1,103.9,-69.575,270.0,top
J2,99.775,-95.025,270.0,top
J3,131.3,-65.425,270.0,top
J4,106.626,-111.949,270.0,top
J5,116.5,-112.125,180.0,top
J6,157.375,-108.637,0.0,top
J7,137.15,-108.637,0.0,top
J8,177.6,-108.637,0.0,top
J9,167.8,-65.09,180.0,top
R1,112.45,-90.65,180.0,top
R10,172.57,-84.3,270.0,bottom
R11,177.31,-84.3,90.0,bottom
R12,163.09,-84.3,270.0,bottom
R13,167.83,-84.3,90.0,bottom
R2,188.0,-88.3375,270.0,top
R3,181.2,-88.3375,270.0,top
R4,112.45,-93.9,180.0,top
R5,184.6225,-83.2375,270.0,top
R6,181.225,-83.2375,270.0,top
R7,112.5,-97.25,180.0,top
R8,182.05,-84.3,270.0,bottom
R9,186.79,-84.3,90.0,bottom
U1,171.43,-86.5,90.0,top
